lng,lat,pi,dst,sid,stn,dsts,types
-65.95,48.966944,59,pollen,496,Lac Côté,pollen,1
-95.915278,46.173889,69,pollen,530,Dalton Lake,pollen,1
-73.292685,41.81115,41,pollen surface sample,558,Mohawk Pond,pollen surface sample,1
-73.43,42.65,41,pollen surface sample,559,Round Pond,pollen surface sample,1
-87.35,33.17,32,pollen surface sample,573,Site 10 (Delcourt  et al. 1983),pollen surface sample,1
-87.33,30.71,32,pollen surface sample,577,Site 14 (Delcourt  et al. 1983),pollen surface sample,1
-89.3,34.31,32,pollen surface sample,589,Site 26 (Delcourt  et al. 1983),pollen surface sample,1
-84.25,32.62,32,pollen surface sample,599,Site 36 (Delcourt  et al. 1983),pollen surface sample,1
-63.37,58.67,745,pollen surface sample,687,Site 2 (Elliot-Fisk et al. 1982),pollen surface sample,1
-70.058333,41.275,131,pollen,701,Donut Pond Bog,pollen,1
-73.88,44.13,109,pollen surface sample,711,Site 2 (Whitehead and Jackson 1990),pollen surface sample,1
-74.67,43.62,109,pollen surface sample,720,Site 11 (Whitehead and Jackson 1990),pollen surface sample,1
-74.15,44.25,109,pollen surface sample,735,Site 25 (Whitehead and Jackson 1990),pollen surface sample,1
